time_step,ID,X,Y,vx,vy,window_vx,window_vy,momentum_vx,momentum_vy,cos_theta,sin_theta,cluster_id,raw_dbscan_cluster_id,feature_mode,method,used_fallback
0,1,9.0499997139,6.03809293275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,window_velocity,dbscan_kmeans_fallback,False
0,2,11.3440694088,7.39845379112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,window_velocity,dbscan_kmeans_fallback,False
0,3,6.08244166818,3.60376297567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,window_velocity,dbscan_kmeans_fallback,False
0,4,2.27302318396,6.20515479255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,window_velocity,dbscan_kmeans_fallback,False
0,5,13.6802321257,6.53927851215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,window_velocity,dbscan_kmeans_fallback,False
0,6,14.1222088559,5.56077333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,window_velocity,dbscan_kmeans_fallback,False
0,7,13.6591856147,2.38659799713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,window_velocity,dbscan_kmeans_fallback,False
0,8,14.0801158339,3.19804131616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,window_velocity,dbscan_kmeans_fallback,False
0,9,14.3537204765,7.85190741057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,window_velocity,dbscan_kmeans_fallback,False
0,10,1.07337205909,8.28149505006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,window_velocity,dbscan_kmeans_fallback,False
0,11,0.883953460427,7.89963937052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,window_velocity,dbscan_kmeans_fallback,False
0,12,0.484069752139,7.87577339054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,window_velocity,dbscan_kmeans_fallback,False
0,13,0.210465109626,7.37458781115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,window_velocity,dbscan_kmeans_fallback,False
0,14,11.4493019636,9.4986600286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,window_velocity,dbscan_kmeans_fallback,False
0,15,10.8389531457,9.23613424891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,window_velocity,dbscan_kmeans_fallback,False
0,16,10.2286043278,9.52252600857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,window_velocity,dbscan_kmeans_fallback,False
0,21,9.78662759759,1.52742271817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,window_velocity,dbscan_kmeans_fallback,False
0,22,9.32360435641,0.477319599427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,window_velocity,dbscan_kmeans_fallback,False
0,25,10.9652322115,12.8637632046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,window_velocity,dbscan_kmeans_fallback,False
0,213,4.39872079117,11.2647425465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,window_velocity,dbscan_kmeans_fallback,False
0,214,3.95674406096,11.2408765665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,window_velocity,dbscan_kmeans_fallback,False
0,215,4.67232543369,10.1907734478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,window_velocity,dbscan_kmeans_fallback,False
0,216,4.25139521444,9.99984560799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,window_velocity,dbscan_kmeans_fallback,False
0,217,7.68197650133,4.70159805435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,window_velocity,dbscan_kmeans_fallback,False
0,218,3.70418592941,3.69922689556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,window_velocity,dbscan_kmeans_fallback,False
0,219,7.30313930401,3.2457732761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,window_velocity,dbscan_kmeans_fallback,False
0,220,8.2081392754,4.15268051501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,window_velocity,dbscan_kmeans_fallback,False
0,273,15.0061623163,7.54164967095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,window_velocity,dbscan_kmeans_fallback,False
0,409,11.3019763869,4.53453619456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,window_velocity,dbscan_kmeans_fallback,False
10,1,9.42546946947,6.11541870786,0.03754697555700002,0.007732577511000027,0.03754697555700002,0.007732577511000027,0.011264092667100007,0.0023197732533000084,0.979444844015968,0.2017108718278861,-1,-1,window_velocity,dbscan_kmeans_fallback,False
10,2,11.7151193971,7.38580482173,0.03710499883000011,-0.001264896938999982,0.03710499883000011,-0.001264896938999982,0.011131499649000036,-0.0003794690816999947,0.9994191841583739,-0.03406986407981468,-1,-1,window_velocity,dbscan_kmeans_fallback,False
10,3,6.36088700821,4.01187123318,0.02784453400299993,0.04081082575099999,0.02784453400299993,0.04081082575099999,0.008353360200899981,0.0122432477253,0.5635988137937784,0.8260484079471431,-1,-1,window_velocity,dbscan_kmeans_fallback,False
10,4,2.45718015488,6.31708623862,0.018415697092000017,0.011193144606999984,0.018415697092000017,0.011193144606999984,0.005524709127600006,0.0033579433820999957,0.8545361777366494,0.5193909826782759,0,0,window_velocity,dbscan_kmeans_fallback,False
10,5,12.9598100554,6.64023160743,-0.07204220702999997,0.010095309527999951,-0.07204220702999997,0.010095309527999951,-0.021612662108999994,0.0030285928583999857,-0.9903238588408102,0.13877456424673493,-1,-1,window_velocity,dbscan_kmeans_fallback,False
10,6,13.8816472356,5.64597488182,-0.024056162030000116,0.008520154849999972,-0.024056162030000116,0.008520154849999972,-0.007216848609000036,0.002556046454999992,-0.9426235987448601,0.33385620767580143,-1,-1,window_velocity,dbscan_kmeans_fallback,False
10,7,13.287293766,2.54578408354,-0.03718918487000007,0.01591860864100001,-0.03718918487000007,0.01591860864100001,-0.011156755461000024,0.004775582592300004,-0.9193202593294706,0.3935095505632805,1,1,window_velocity,dbscan_kmeans_fallback,False
10,8,13.7339007286,3.29803977224,-0.034621510530000066,0.009999845608000024,-0.034621510530000066,0.009999845608000024,-0.010386453159000022,0.0029999536824000077,-0.9607281514286866,0.2774902954399233,1,1,window_velocity,dbscan_kmeans_fallback,False
10,9,14.2853193158,8.0786342203,-0.006840116069999879,0.02267268097299997,-0.006840116069999879,0.02267268097299997,-0.002052034820999964,0.006801804291899992,-0.28883160087445997,0.9573794763906113,2,2,window_velocity,dbscan_kmeans_fallback,False
10,10,1.34403019007,8.29509865864,0.027065813098,0.0013603608580000427,0.027065813098,0.0013603608580000427,0.008119743929400002,0.0004081082574000129,0.9987389242984595,0.05019783943151102,0,0,window_velocity,dbscan_kmeans_fallback,False
10,11,1.04685345528,7.89200225692,0.0162899994853,-0.0007637113600000411,0.0162899994853,-0.0007637113600000411,0.004886999845590001,-0.00022911340800001236,0.998902224433726,-0.04683075509104584,0,0,window_velocity,dbscan_kmeans_fallback,False
10,12,0.669489513719,7.92111875249,0.018541976158,0.004534536194999994,0.018541976158,0.004534536194999994,0.005562592847400001,0.0013603608584999984,0.9713736825077673,0.23755445938816333,0,0,window_velocity,dbscan_kmeans_fallback,False
10,13,0.393990685219,7.42542234848,0.018352557559299997,0.00508345373300001,0.018352557559299997,0.00508345373300001,0.00550576726779,0.0015250361199000031,0.9637132121542145,0.26693781016827545,0,0,window_velocity,dbscan_kmeans_fallback,False
10,14,11.4913949856,9.51942343117,0.004209302199999954,0.0020763402570000977,0.004209302199999954,0.0020763402570000977,0.0012627906599999863,0.0006229020771000294,0.8968250076717693,0.44238065561397244,3,3,window_velocity,dbscan_kmeans_fallback,False
