time_step,ID,X,Y
0,1,9.0499997139,6.03809293275
0,2,11.3440694088,7.39845379112
0,3,6.08244166818,3.60376297567
0,4,2.27302318396,6.20515479255
0,5,13.6802321257,6.53927851215
0,6,14.1222088559,5.56077333332
0,7,13.6591856147,2.38659799713
0,8,14.0801158339,3.19804131616
0,9,14.3537204765,7.85190741057
0,10,1.07337205909,8.28149505006
0,11,0.883953460427,7.89963937052
0,12,0.484069752139,7.87577339054
0,13,0.210465109626,7.37458781115
0,14,11.4493019636,9.4986600286
0,15,10.8389531457,9.23613424891
0,16,10.2286043278,9.52252600857
0,21,9.78662759759,1.52742271817
0,22,9.32360435641,0.477319599427
0,25,10.9652322115,12.8637632046
0,213,4.39872079117,11.2647425465
0,214,3.95674406096,11.2408765665
0,215,4.67232543369,10.1907734478
0,216,4.25139521444,9.99984560799
0,217,7.68197650133,4.70159805435
0,218,3.70418592941,3.69922689556
0,219,7.30313930401,3.2457732761
0,220,8.2081392754,4.15268051501
0,273,15.0061623163,7.54164967095
0,409,11.3019763869,4.53453619456
10,1,9.42546946947,6.11541870786
10,2,11.7151193971,7.38580482173
10,3,6.36088700821,4.01187123318
10,4,2.45718015488,6.31708623862
10,5,12.9598100554,6.64023160743
10,6,13.8816472356,5.64597488182
10,7,13.287293766,2.54578408354
10,8,13.7339007286,3.29803977224
10,9,14.2853193158,8.0786342203
10,10,1.34403019007,8.29509865864
10,11,1.04685345528,7.89200225692
10,12,0.669489513719,7.92111875249
10,13,0.393990685219,7.42542234848
10,14,11.4913949856,9.51942343117
10,15,11.0203740702,9.22801981572
10,16,10.4321240888,9.48266982201
10,21,9.83166713105,1.56155106953
10,22,9.37348458739,0.596649499284
10,23,0.840597647844,3.95339958225
10,25,10.9885938387,12.6515946426
10,213,4.2614975397,11.5656925539
10,214,3.81867894905,11.4721379124
10,215,4.60224055218,10.472869331
10,216,4.19393823951,10.303659533
10,217,7.70765324471,4.71902021973
10,218,3.60547779299,3.7438562781
10,219,7.29808814137,3.27799234906
10,220,8.18393578779,4.15816969041
10,273,14.9508099925,7.70083575735
10,409,11.2293659241,4.39468155192
20,1,9.80093922504,6.19298314276
20,2,12.0861693854,7.37339451215
20,3,6.63912188314,4.41974083089
20,4,2.6413371258,6.42877902488
20,5,12.2393879852,6.74118470271
20,6,13.6410856153,5.73117643032
20,7,12.9156123824,2.70473151015
20,8,13.3876856233,3.39827688812
20,9,14.2169181552,8.30536103003
20,10,1.61447785594,8.30870226722
20,11,1.20975345013,7.88412648353
20,12,0.854909275299,7.96670277423
20,13,0.577726725922,7.47625688582
20,14,11.5334880075,9.54018683375
20,15,11.2017949947,9.21966672273
20,16,10.6354333847,9.44305229526
20,17,15.093926267,0.902850022316
20,21,9.87691712962,1.59567942088
20,22,9.42336481837,0.71597939914
20,23,1.06348019894,4.03764649155
20,25,10.9938554664,12.4052977293
20,213,4.12427428822,11.8666425614
20,214,3.68040337202,11.7033992583
20,215,4.53194520557,10.7549652143
20,216,4.13669172969,10.6072347983
20,217,7.73332998808,4.73644238511
20,218,3.50676965658,3.78872432045
20,219,7.29303697874,3.31021142203
20,220,8.15952183507,4.1636588658
20,273,14.8954576686,7.85978318396
20,409,11.1567554612,4.25482690929
30,1,10.1761985155,6.27030891787
30,2,12.4572193736,7.36074554276
30,3,6.91756722317,4.8278490884
30,4,2.82549409672,6.54071047095
30,5,11.5358031237,6.9149290369
30,6,13.4066274831,5.80730890643
30,7,12.5437205337,2.86391759656
30,8,13.0414705179,3.4982753442
30,9,14.1485169946,8.53208783976
30,10,1.88513598692,8.32230587581
